category,resource_name,description,keywords
Academic Support,Division of Academic Enhancement,"UGA's central hub for academic support, including tutoring, academic coaching, and study skills programming for undergraduates.",dae tutoring study skills academic help support
Academic Support,Drop-In Tutoring,"Free peer tutoring across many common undergraduate courses, offered through the Division of Academic Enhancement.",tutor tutoring free help homework peer session
Academic Support,Writing Center,"One-on-one consultations on essays, reports, and application materials at any stage of drafting.",writing essay paper draft editing feedback proofreading
Academic Support,Math Study Hall,"Drop-in help for lower-division mathematics courses, staffed by instructors and tutors.",math calculus algebra precalculus statistics quantitative
Academic Support,Supplemental Instruction,"Peer-led group study sessions attached to historically difficult courses.",si group study sessions review course help
Academic Support,Academic Coaching,"Individual coaching on time management, study strategies, motivation, and organization.",coaching time management procrastination organization study habits
Academic Support,Testing Services,"Administers placement exams, proctored testing, and national exams for UGA students.",testing exam proctor placement test
Advising,Academic Advising,"Every undergraduate is assigned an advisor in their school or college to plan coursework and track degree progress.",advisor advising schedule courses degree audit registration major
Advising,Terry College Undergraduate Advising,"Advising specific to Terry College of Business majors, including MIS, finance, marketing, and accounting.",terry business advising mis major bba
Advising,Office of the Registrar,"Handles registration, transcripts, enrollment verification, grades, and graduation clearance.",registrar transcript enrollment registration register classes schedule drop add graduation records
Advising,Major Change and Exploration,"Guidance for students considering changing majors or exploring a different academic path.",change major undecided exploration switch degree
Career,UGA Career Center,"Career coaching, resume and cover letter reviews, mock interviews, career fairs, and job search support.",career resume interview job internship coaching cover letter fair
Career,Handshake,"The job and internship platform UGA uses to post opportunities and manage employer recruiting.",handshake jobs internships apply employers postings
Career,Terry Career Management Center,"Career services tailored to business students, including employer connections and industry-specific coaching.",terry business career recruiting employers consulting finance
Career,Student Employment,"On-campus and federal work-study job listings for enrolled students.",work study campus job employment part-time hiring
Career,Career Fairs,"Recruiting events each semester connecting students with employers across industries.",fair recruiting employers networking hiring event
Health and Wellness,University Health Center,"On-campus medical clinic providing primary care, immunizations, lab work, pharmacy, and specialty clinics.",health doctor sick clinic medical pharmacy immunization appointment
Health and Wellness,Counseling and Psychiatric Services,"Mental health counseling, psychiatry, group therapy, and crisis support for enrolled students.",caps counseling therapy mental health anxiety depression crisis psychiatrist
Health and Wellness,Health Promotion,"Peer education and programming on sleep, stress, sexual health, nutrition, and general wellbeing.",wellness health promotion stress sleep nutrition peer education
Health and Wellness,Fontaine Center,"Education, prevention, and recovery support around alcohol and other drugs.",alcohol drugs recovery substance prevention fontaine
Health and Wellness,Nutrition Services,"Individual nutrition counseling and dietary guidance through the health center.",nutrition dietitian eating food diet counseling
Health and Wellness,Aspire Clinic,"Low-cost therapy covering mental health, relationships, financial counseling, and nutrition, staffed by supervised graduate clinicians.",aspire therapy counseling financial relationship low cost
Support,Student Care and Outreach,"First stop for students facing unexpected hardship, illness, family emergency, or crisis; helps coordinate absences and connect students to resources.",sco crisis emergency hardship withdraw absence help support
Support,UGA Food Pantry,"Free groceries and household staples for students experiencing food insecurity.",food pantry hungry groceries insecurity free meals
Support,Bulldog Basics,"Free hygiene and personal care products for students in need.",hygiene toiletries soap shampoo basics free products
Support,Embark at UGA,"Support for students who have experienced homelessness or foster care.",embark homeless foster housing insecurity independent student
